,move,insert,update,delete
HdlIdDef-HdlModuleDec,2.0,5.0,3.0,
HdlIdDef-HdlModuleDef,4.0,4.0,,
HdlStmAssign-HdlModuleDef,2.0,3.0,8.0,6.0
HdlOp-TERNARY-HdlStmAssign,1.0,,2.0,
HdlOp-MemberAccessing-HdlStmAssign,,1.0,1.0,
HdlOp-DOWNTO-HdlOp-MemberAccessing,,1.0,1.0,
HdlOp-PrefixExpression-HdlStmAssign,,2.0,2.0,
HdlOp-InfixExpression-HdlOp-InfixExpression,,1.0,,
HdlDirection-HdlIdDef,,,1.0,
HdlOp-InfixExpression-HdlOp-PrefixExpression,,,1.0,
HdlOp-TERNARY-HdlOp-TERNARY,,,1.0,1.0
HdlOp-InfixExpression-HdlStmAssign,,,2.0,
