,delete,update,move,insert
HdlIdDef-HdlModuleDef,5.0,1.0,1.0,11.0
HdlStmIf-HdlStmProcess,1.0,12.0,1.0,3.0
HdlStmProcess-HdlModuleDef,4.0,6.0,,3.0
HdlOp-Assignment-HdlStmCase,3.0,3.0,,
HdlStmAssign-HdlModuleDef,2.0,10.0,,7.0
HdlOp-MemberAccessing-HdlStmAssign,2.0,5.0,,
HdlStmAssign-HdlStmIf,2.0,15.0,2.0,8.0
HdlOp-PrefixExpression-HdlOp-InfixExpression,1.0,1.0,,
HdlOp-InfixExpression-HdlOp-InfixExpression,5.0,12.0,3.0,3.0
HdlOp-RISING-HdlStmProcess,1.0,,,3.0
HdlOp-TERNARY-HdlStmAssign,,3.0,,
HdlOp-MemberAccessing-HdlOp-TERNARY,,2.0,,
HdlIdDef-HdlModuleDec,,20.0,3.0,9.0
HdlDirection-HdlIdDef,,3.0,,
HdlOp-PARAMETRIZATION-HdlIdDef,,2.0,,
HdlOp-InfixExpression-HdlStmIf,,8.0,2.0,1.0
HdlOp-Assignment-HdlStmIf,,4.0,2.0,
HdlOp-Assignment-HdlStmProcess,,2.0,1.0,
HdlOp-MemberAccessing-HdlOp-Assignment,,2.0,1.0,
HdlOp-InfixExpression-HdlOp-Assignment,,3.0,2.0,
HdlStmAssign-HdlStmCase,,6.0,,13.0
HdlStmCase-HdlStmCase,,1.0,,
HdlOp-InfixExpression-HdlStmAssign,,8.0,1.0,2.0
HdlOp-MemberAccessing-HdlOp-InfixExpression,,1.0,,2.0
HdlOp-MemberAccessing-HdlOp-MemberAccessing,,2.0,4.0,
HdlStmIf-HdlStmIf,,,,1.0
