,insert,delete,update,move
HdlIdDef-HdlModuleDef,1.0,1.0,2.0,
HdlOp-FunctionCall-HdlStmIf,1.0,,,
HdlStmAssign-HdlModuleDef,2.0,2.0,,
HdlOp-PrefixExpression-HdlStmAssign,2.0,,2.0,
HdlOp-InfixExpression-HdlOp-MemberAccessing,,1.0,,
HdlOp-MemberAccessing-HdlStmAssign,,1.0,1.0,2.0
HdlOp-InfixExpression-HdlStmIf,,2.0,2.0,
HdlStmAssign-HdlStmCase,,1.0,5.0,
HdlOp-PrefixExpression-HdlOp-TERNARY,,1.0,1.0,
HdlStmAssign-HdlStmIf,,,1.0,
HdlOp-TERNARY-HdlStmAssign,,,1.0,
HdlStmIf-HdlStmProcess,,,3.0,
HdlOp-MemberAccessing-HdlOp-InfixExpression,,,2.0,2.0
HdlStmCase-HdlStmIf,,,3.0,
HdlOp-TERNARY-HdlIdDef,,,1.0,
HdlOp-TERNARY-HdlOp-TERNARY,,,2.0,
HdlModuleDec-HdlModuleDef,,,18.0,
HdlOp-MemberAccessing-HdlOp-TERNARY,,,,1.0
HdlOp-InfixExpression-HdlIdDef,,,,1.0
