,delete,move,update,insert
HdlIdDef-HdlModuleDec,6.0,3.0,9.0,4.0
HdlStmIf-HdlStmProcess,2.0,,16.0,4.0
HdlStmProcess-HdlModuleDef,3.0,2.0,8.0,4.0
HdlStmAssign-HdlModuleDef,6.0,,1.0,4.0
HdlOp-PrefixExpression-HdlOp-MemberAccessing,5.0,,5.0,
HdlDirection-HdlIdDef,2.0,,3.0,1.0
HdlIdDef-HdlModuleDef,4.0,4.0,24.0,13.0
HdlOp-PARAMETRIZATION-HdlIdDef,2.0,2.0,4.0,
HdlOp-InfixExpression-HdlStmIf,2.0,,2.0,
HdlOp-InfixExpression-HdlOp-TERNARY,1.0,,2.0,1.0
HdlOp-PrefixExpression-HdlOp-InfixExpression,1.0,,2.0,5.0
HdlOp-InfixExpression-HdlIdDef,1.0,4.0,5.0,5.0
HdlOp-DOWNTO-HdlOp-MemberAccessing,1.0,,1.0,
HdlOp-TERNARY-HdlStmAssign,,1.0,9.0,1.0
HdlStmAssign-HdlStmIf,,7.0,13.0,5.0
HdlOp-InfixExpression-HdlStmAssign,,2.0,4.0,1.0
HdlOp-PrefixExpression-HdlStmIf,,1.0,,
HdlStmAssign-HdlStmProcess,,1.0,3.0,
HdlOp-InfixExpression-HdlOp-MemberAccessing,,1.0,,
HdlOp-MemberAccessing-HdlOp-PrefixExpression,,1.0,4.0,
HdlOp-PrefixExpression-HdlOp-TERNARY,,1.0,3.0,1.0
HdlStmAssign-HdlStmCase,,,7.0,
HdlOp-MemberAccessing-HdlStmAssign,,,7.0,
HdlOp-MemberAccessing-HdlOp-TERNARY,,,1.0,
HdlOp-InfixExpression-HdlOp-PrefixExpression,,,3.0,1.0
HdlOp-InfixExpression-HdlOp-InfixExpression,,,3.0,1.0
HdlStmProcess-HdlStmProcess,,,2.0,
HdlOp-FunctionCall-HdlStmProcess,,,2.0,
HdlOp-DOWNTO-HdlOp-PARAMETRIZATION,,,3.0,
HdlStmCase-HdlStmIf,,,2.0,
HdlOp-FunctionCall-HdlStmCase,,,2.0,
HdlOp-PrefixExpression-HdlIdDef,,,4.0,
HdlStmCase-HdlStmProcess,,,3.0,1.0
HdlStmFor-HdlStmProcess,,,1.0,
HdlOp-InfixExpression-HdlStmFor,,,1.0,
HdlStmIf-HdlStmIf,,,1.0,1.0
HdlOp-MemberAccessing-HdlOp-MemberAccessing,,,10.0,
HdlOp-MemberAccessing-HdlOp-InfixExpression,,,,3.0
HdlOp-MemberAccessing-HdlIdDef,,,,1.0
HdlOp-FunctionCall-HdlOp-FunctionCall,,,,1.0
