,move,update,insert,delete
HdlIdDef-HdlModuleDec,5.0,21.0,21.0,3.0
HdlStmIf-HdlStmProcess,1.0,29.0,4.0,2.0
HdlOp-InfixExpression-HdlStmAssign,1.0,3.0,1.0,
HdlOp-InfixExpression-HdlOp-InfixExpression,12.0,38.0,8.0,6.0
HdlOp-PARAMETRIZATION-HdlIdDef,4.0,17.0,2.0,2.0
HdlStmAssign-HdlStmIf,2.0,18.0,3.0,2.0
HdlOp-InfixExpression-HdlStmIf,6.0,41.0,5.0,6.0
HdlIdDef-HdlModuleDef,4.0,6.0,17.0,4.0
HdlStmAssign-HdlModuleDef,1.0,5.0,4.0,2.0
HdlDirection-HdlIdDef,,5.0,,1.0
HdlOp-DOWNTO-HdlOp-PARAMETRIZATION,,7.0,,
HdlStmIf-HdlStmIf,,7.0,1.0,
HdlStmProcess-HdlModuleDef,,17.0,6.0,7.0
HdlOp-RISING-HdlStmProcess,,4.0,,2.0
HdlOp-MemberAccessing-HdlOp-InfixExpression,,1.0,,1.0
HdlOp-Assignment-HdlStmIf,,1.0,1.0,
HdlOp-InfixExpression-HdlOp-Assignment,,3.0,,1.0
HdlOp-Assignment-HdlStmProcess,,2.0,,1.0
HdlOp-PrefixExpression-HdlStmAssign,,1.0,,1.0
HdlOp-MemberAccessing-HdlStmAssign,,1.0,1.0,1.0
HdlOp-FALLING-HdlStmProcess,,2.0,,
HdlModuleDef-HdlContext,,5.0,,
HdlOp-DOWNTO-HdlOp-MemberAccessing,,,1.0,1.0
