,update,insert,delete,move
HdlIdDef-HdlModuleDef,12.0,30.0,14.0,2.0
HdlStmCase-HdlStmIf,90.0,,,
HdlStmAssign-HdlStmIf,19.0,28.0,9.0,8.0
HdlOp-InfixExpression-HdlStmAssign,15.0,4.0,,2.0
HdlStmIf-HdlStmCase,71.0,4.0,6.0,6.0
HdlOp-InfixExpression-HdlStmIf,44.0,31.0,25.0,12.0
HdlOp-MemberAccessing-HdlStmAssign,13.0,4.0,1.0,3.0
HdlOp-InfixExpression-HdlOp-MemberAccessing,3.0,3.0,,
HdlStmIf-HdlStmProcess,91.0,4.0,4.0,
HdlStmCase-HdlStmProcess,96.0,,,
HdlStmAssign-HdlModuleDef,17.0,9.0,5.0,
HdlOp-PrefixExpression-HdlStmAssign,1.0,,1.0,1.0
HdlOp-InfixExpression-HdlOp-PrefixExpression,2.0,,,1.0
HdlOp-InfixExpression-HdlOp-InfixExpression,42.0,19.0,25.0,25.0
HdlStmIf-HdlStmIf,21.0,6.0,2.0,
HdlStmCase-HdlStmCase,3.0,,,
HdlStmAssign-HdlStmProcess,3.0,3.0,8.0,3.0
HdlOp-TERNARY-HdlStmAssign,1.0,,,
HdlOp-InfixExpression-HdlOp-TERNARY,1.0,,,
HdlOp-MemberAccessing-HdlOp-InfixExpression,5.0,1.0,2.0,
HdlOp-DOWNTO-HdlOp-MemberAccessing,4.0,,,
HdlOp-PrefixExpression-HdlOp-InfixExpression,1.0,5.0,2.0,
HdlStmAssign-HdlStmCase,7.0,8.0,9.0,
HdlOp-MemberAccessing-HdlOp-MemberAccessing,24.0,,,
HdlOp-MemberAccessing-HdlIdDef,1.0,,,
HdlOp-InfixExpression-HdlOp-DOWNTO,1.0,,1.0,
HdlOp-PrefixExpression-HdlStmIf,4.0,,,3.0
HdlIdDef-HdlModuleDec,2.0,19.0,3.0,
HdlStmProcess-HdlModuleDef,,2.0,,
HdlOp-InfixExpression-HdlIdDef,,2.0,3.0,
HdlDirection-HdlIdDef,,2.0,3.0,
HdlOp-PARAMETRIZATION-HdlIdDef,,,,3.0
