,update,insert,move,delete
HdlStmWait-HdlStmProcess,2.0,2.0,2.0,
HdlStmProcess-HdlModuleDef,5.0,2.0,,2.0
HdlIdDef-HdlModuleDef,12.0,9.0,2.0,12.0
HdlOp-PARAMETRIZATION-HdlIdDef,3.0,,1.0,5.0
HdlOp-TERNARY-HdlIdDef,1.0,,,1.0
HdlOp-TERNARY-HdlOp-TERNARY,42.0,4.0,3.0,11.0
HdlOp-InfixExpression-HdlOp-TERNARY,7.0,4.0,14.0,6.0
HdlOp-MemberAccessing-HdlOp-InfixExpression,2.0,1.0,,
HdlStmAssign-HdlStmProcess,10.0,10.0,2.0,1.0
HdlOp-TERNARY-HdlStmAssign,11.0,1.0,,4.0
HdlOp-MemberAccessing-HdlIdDef,2.0,,3.0,2.0
HdlOp-DOWNTO-HdlOp-MemberAccessing,2.0,,,1.0
HdlStmFor-HdlStmProcess,1.0,,,
HdlOp-InfixExpression-HdlStmFor,1.0,,,
HdlOp-MemberAccessing-HdlStmAssign,2.0,2.0,,
HdlOp-MemberAccessing-HdlOp-TERNARY,1.0,1.0,4.0,
HdlOp-InfixExpression-HdlOp-InfixExpression,1.0,3.0,,
HdlStmAssign-HdlModuleDef,4.0,1.0,,2.0
HdlOp-InfixExpression-HdlIdDef,1.0,,,1.0
HdlStmProcess-HdlStmProcess,2.0,3.0,1.0,
HdlOp-DOWNTO-HdlOp-PARAMETRIZATION,1.0,,,2.0
HdlOp-MemberAccessing-HdlOp-MemberAccessing,2.0,1.0,,
HdlIdDef-HdlModuleDec,,2.0,,
HdlOp-Assignment-HdlStmProcess,,1.0,,
HdlDirection-HdlIdDef,,1.0,1.0,4.0
HdlOp-PrefixExpression-HdlOp-TERNARY,,,2.0,
