,update,insert,move,delete
HdlStmIf-HdlStmIf,7,,,
HdlOp-InfixExpression-HdlStmIf,2,1.0,,
HdlStmAssign-HdlModuleDef,3,7.0,,4.0
HdlOp-InfixExpression-HdlStmAssign,3,2.0,,
HdlStmAssign-HdlStmIf,2,1.0,,3.0
HdlOp-InfixExpression-HdlOp-InfixExpression,13,16.0,,
HdlIdDef-HdlModuleDef,11,15.0,9.0,1.0
HdlOp-InfixExpression-HdlIdDef,6,4.0,1.0,
HdlModuleDef-HdlContext,4,,4.0,
HdlModuleDec-HdlModuleDef,8,4.0,,4.0
HdlStmProcess-HdlModuleDef,5,8.0,4.0,1.0
HdlStmIf-HdlStmProcess,1,1.0,,
HdlStmCase-HdlStmIf,1,,,
HdlIdDef-HdlModuleDec,21,38.0,2.0,1.0
HdlStmFor-HdlStmProcess,1,,,
HdlOp-Assignment-HdlStmFor,1,,,
HdlOp-MemberAccessing-HdlOp-Assignment,1,,,
HdlOp-RISING-HdlStmProcess,2,,,
HdlOp-MemberAccessing-HdlIdDef,1,,,
HdlOp-DOWNTO-HdlOp-MemberAccessing,2,,,
HdlOp-InfixExpression-HdlOp-DOWNTO,2,,,
HdlStmAssign-HdlStmProcess,1,,,
HdlOp-MemberAccessing-HdlStmAssign,1,,,
HdlOp-MemberAccessing-HdlOp-MemberAccessing,1,,,
HdlDirection-HdlIdDef,1,,,
