,insert,update,move,delete
HdlIdDef-HdlModuleDef,38.0,4,2.0,4.0
HdlIdDef-HdlModuleDec,1.0,1,,
HdlStmAssign-HdlStmIf,86.0,25,4.0,4.0
HdlStmProcess-HdlModuleDef,3.0,2,,2.0
HdlStmIf-HdlStmProcess,3.0,13,,2.0
HdlOp-PrefixExpression-HdlIdDef,1.0,2,1.0,
HdlOp-PrefixExpression-HdlStmAssign,2.0,4,2.0,
HdlOp-MemberAccessing-HdlStmCase,2.0,2,,
HdlOp-DOWNTO-HdlOp-MemberAccessing,2.0,1,,
HdlOp-MemberAccessing-HdlIdDef,,1,,
HdlOp-MemberAccessing-HdlOp-MemberAccessing,,3,,1.0
HdlOp-TERNARY-HdlStmAssign,,2,,
HdlOp-MemberAccessing-HdlOp-TERNARY,,2,,
HdlOp-PrefixExpression-HdlOp-MemberAccessing,,1,,
HdlOp-MemberAccessing-HdlOp-PrefixExpression,,1,,
HdlModuleDef-HdlContext,,6,,
HdlModuleDec-HdlModuleDef,,6,,
HdlStmCase-HdlStmProcess,,2,,
