,update,insert,move,delete
HdlIdDef-HdlModuleDec,3.0,,,
HdlStmAssign-HdlModuleDef,7.0,,,
HdlOp-PrefixExpression-HdlStmAssign,2.0,,,
HdlOp-MemberAccessing-HdlOp-PrefixExpression,3.0,,,
HdlOp-InfixExpression-HdlStmAssign,4.0,,,
HdlOp-MemberAccessing-HdlOp-InfixExpression,3.0,,,
HdlOp-InfixExpression-HdlOp-InfixExpression,3.0,,,
HdlOp-PrefixExpression-HdlOp-InfixExpression,1.0,,,
HdlStmProcess-HdlModuleDef,1.0,1.0,,
HdlIdDef-HdlModuleDef,1.0,,,
HdlStmAssign-HdlStmIf,4.0,,,1.0
HdlStmIf-HdlStmIf,2.0,,,
HdlOp-InfixExpression-HdlStmIf,2.0,,,
HdlOp-MemberAccessing-HdlStmAssign,1.0,,,
HdlOp-MemberAccessing-HdlOp-MemberAccessing,1.0,,,
HdlStmAssign-HdlStmProcess,,1.0,1.0,
