,update,insert,move,delete
HdlIdDef-HdlModuleDef,4.0,2.0,,
HdlStmAssign-HdlModuleDef,3.0,1.0,1.0,
HdlOp-TERNARY-HdlStmAssign,1.0,1.0,,
HdlOp-MemberAccessing-HdlOp-TERNARY,1.0,3.0,,
HdlOp-PARAMETRIZATION-HdlIdDef,2.0,1.0,,
HdlOp-DOWNTO-HdlOp-PARAMETRIZATION,2.0,,,
HdlStmAssign-HdlStmIf,12.0,1.0,,
HdlOp-MemberAccessing-HdlStmAssign,1.0,1.0,2.0,
HdlOp-InfixExpression-HdlStmAssign,7.0,,,
HdlOp-MemberAccessing-HdlOp-InfixExpression,7.0,,,7.0
HdlOp-InfixExpression-HdlOp-InfixExpression,55.0,9.0,7.0,9.0
HdlStmRepeat-HdlStmWhile,8.0,,,
HdlStmWhile-HdlStmIf,8.0,,,
HdlOp-Assignment-HdlStmWhile,8.0,,,
HdlStmIf-HdlStmIf,11.0,,,
HdlOp-InfixExpression-HdlStmIf,16.0,,1.0,
HdlIdDef-HdlModuleDec,1.0,1.0,,
HdlStmProcess-HdlModuleDef,1.0,1.0,,
HdlStmIf-HdlStmProcess,1.0,1.0,,
HdlStmIf-HdlModuleDef,,1.0,,
HdlOp-PrefixExpression-HdlStmIf,,1.0,,
