,update,insert,move,delete
HdlIdDef-HdlModuleDef,2.0,5.0,,
HdlStmProcess-HdlModuleDef,2.0,2.0,,
HdlStmIf-HdlStmIf,3.0,,,
HdlOp-InfixExpression-HdlStmIf,2.0,2.0,2.0,
HdlStmAssign-HdlStmCase,1.0,,,
HdlModuleDec-HdlModuleDef,4.0,2.0,,2.0
HdlStmAssign-HdlModuleDef,4.0,,,
HdlOp-InfixExpression-HdlStmAssign,7.0,1.0,1.0,
HdlOp-PARAMETRIZATION-HdlIdDef,1.0,,,
HdlOp-DOWNTO-HdlOp-PARAMETRIZATION,1.0,,,
HdlStmIf-HdlStmCase,2.0,,,
HdlOp-Assignment-HdlStmIf,2.0,,,2.0
HdlStmAssign-HdlStmIf,4.0,1.0,,
HdlOp-MemberAccessing-HdlStmAssign,1.0,,,1.0
HdlOp-InfixExpression-HdlOp-InfixExpression,4.0,3.0,,
HdlStmCase-HdlStmIf,1.0,,,
HdlStmIf-HdlStmProcess,2.0,1.0,,
HdlOp-MemberAccessing-HdlOp-InfixExpression,1.0,1.0,,
HdlOp-PrefixExpression-HdlOp-InfixExpression,,1.0,,
HdlIdDef-HdlStmProcess,,,,1.0
