,update,delete,move,insert
HdlStmProcess-HdlModuleDef,102.0,2.0,1.0,9.0
HdlStmIf-HdlStmProcess,25.0,1.0,1.0,4.0
HdlOp-InfixExpression-HdlStmIf,18.0,1.0,3.0,1.0
HdlOp-InfixExpression-HdlOp-InfixExpression,116.0,15.0,21.0,44.0
HdlOp-MemberAccessing-HdlOp-InfixExpression,4.0,4.0,10.0,
HdlOp-PrefixExpression-HdlOp-InfixExpression,25.0,2.0,,
HdlStmCase-HdlStmIf,4.0,3.0,1.0,
HdlStmAssign-HdlStmCase,7.0,,5.0,
HdlStmIf-HdlStmIf,10.0,,,2.0
HdlOp-MemberAccessing-HdlStmIf,5.0,,,5.0
HdlStmAssign-HdlStmIf,18.0,1.0,,
HdlStmAssign-HdlModuleDef,12.0,5.0,,3.0
HdlOp-InfixExpression-HdlStmAssign,13.0,3.0,1.0,
HdlStmAssign-HdlStmProcess,4.0,1.0,1.0,1.0
HdlStmCase-HdlStmProcess,78.0,,,
HdlOp-Assignment-HdlStmCase,249.0,100.0,,99.0
HdlOp-InfixExpression-HdlOp-Assignment,108.0,2.0,,31.0
HdlOp-PrefixExpression-HdlOp-Assignment,18.0,1.0,16.0,
HdlStmIf-HdlStmCase,18.0,1.0,,5.0
HdlOp-Assignment-HdlStmIf,31.0,1.0,7.0,2.0
HdlOp-RISING-HdlStmProcess,1.0,2.0,,
HdlOp-MemberAccessing-HdlStmAssign,9.0,3.0,1.0,1.0
HdlOp-MemberAccessing-HdlOp-Assignment,2.0,,,
HdlOp-MemberAccessing-HdlOp-MemberAccessing,12.0,,,
HdlOp-PrefixExpression-HdlStmIf,1.0,,,2.0
HdlIdDef-HdlModuleDec,1.0,,1.0,1.0
HdlOp-TERNARY-HdlStmAssign,3.0,,,
HdlOp-InfixExpression-HdlOp-TERNARY,2.0,,2.0,
HdlOp-MemberAccessing-HdlOp-PrefixExpression,1.0,,,
HdlIdDef-HdlModuleDef,,4.0,2.0,4.0
HdlOp-DOWNTO-HdlOp-MemberAccessing,,1.0,,
HdlOp-Assignment-HdlStmProcess,,76.0,,102.0
HdlOp-TERNARY-HdlStmIf,,,1.0,
