,insert,update,move,delete
HdlIdDef-HdlModuleDef,86.0,1.0,8.0,
HdlIdDef-HdlModuleDec,35.0,1.0,3.0,
HdlStmProcess-HdlModuleDef,4.0,6.0,4.0,1.0
HdlStmAssign-HdlModuleDef,17.0,,11.0,3.0
HdlStmIf-HdlStmIf,3.0,5.0,1.0,1.0
HdlOp-InfixExpression-HdlStmIf,1.0,2.0,3.0,
HdlStmAssign-HdlStmIf,3.0,3.0,5.0,
HdlStmAssign-HdlStmProcess,1.0,,,
HdlStmAssign-HdlStmCase,1.0,3.0,2.0,14.0
HdlStmIf-HdlStmProcess,1.0,9.0,2.0,1.0
HdlStmCase-HdlStmIf,1.0,6.0,2.0,1.0
HdlStmCase-HdlStmCase,,2.0,,
HdlOp-InfixExpression-HdlOp-InfixExpression,,4.0,,1.0
HdlOp-PrefixExpression-HdlOp-InfixExpression,,1.0,,2.0
HdlOp-MemberAccessing-HdlStmAssign,,4.0,,
HdlOp-DOWNTO-HdlOp-MemberAccessing,,3.0,,
HdlModuleDef-HdlContext,,18.0,,
HdlDirection-HdlIdDef,,1.0,,
HdlOp-MemberAccessing-HdlStmCase,,,1.0,
HdlOp-PARAMETRIZATION-HdlIdDef,,,,1.0
