,update,insert,move,delete
HdlStmCase-HdlStmProcess,28.0,,,
HdlOp-Assignment-HdlStmCase,45.0,16.0,9.0,12.0
HdlOp-TERNARY-HdlOp-Assignment,14.0,2.0,2.0,4.0
HdlOp-InfixExpression-HdlOp-TERNARY,16.0,4.0,2.0,
HdlStmProcess-HdlModuleDef,20.0,,,
HdlStmCase-HdlStmCase,29.0,,,
HdlOp-PrefixExpression-HdlOp-Assignment,7.0,2.0,,
HdlOp-InfixExpression-HdlOp-PrefixExpression,10.0,,,
HdlOp-TERNARY-HdlOp-InfixExpression,2.0,2.0,,
HdlOp-MemberAccessing-HdlOp-TERNARY,4.0,6.0,,
HdlOp-MemberAccessing-HdlOp-MemberAccessing,2.0,2.0,,
HdlOp-InfixExpression-HdlOp-Assignment,21.0,,6.0,
HdlOp-MemberAccessing-HdlOp-Assignment,7.0,5.0,8.0,
HdlIdDef-HdlModuleDef,8.0,3.0,,3.0
HdlOp-InfixExpression-HdlIdDef,6.0,3.0,2.0,2.0
HdlOp-InfixExpression-HdlOp-InfixExpression,29.0,10.0,3.0,4.0
HdlOp-MemberAccessing-HdlOp-InfixExpression,8.0,6.0,6.0,4.0
HdlOp-PrefixExpression-HdlOp-InfixExpression,12.0,,3.0,5.0
HdlStmIf-HdlStmCase,6.0,2.0,,
HdlOp-Assignment-HdlStmIf,10.0,2.0,,2.0
HdlStmAssign-HdlStmIf,,2.0,,1.0
HdlDirection-HdlIdDef,,1.0,,2.0
HdlOp-DOWNTO-HdlOp-MemberAccessing,,4.0,,
HdlOp-PrefixExpression-HdlOp-TERNARY,,,2.0,
HdlOp-MemberAccessing-HdlStmProcess,,,60.0,
HdlIdDef-HdlModuleDec,,,,1.0
HdlStmAssign-HdlModuleDef,,,,1.0
