,update,delete,insert,move
HdlStmIf-HdlStmIf,1.0,,,
HdlOp-InfixExpression-HdlStmIf,1.0,,,
HdlOp-MemberAccessing-HdlOp-InfixExpression,1.0,,6.0,
HdlOp-MemberAccessing-HdlOp-MemberAccessing,1.0,1.0,,
HdlStmAssign-HdlStmIf,1.0,,,
HdlOp-InfixExpression-HdlStmAssign,1.0,,,
HdlStmCase-HdlStmProcess,8.0,,,
HdlOp-Assignment-HdlStmCase,23.0,,6.0,6.0
HdlStmCase-HdlStmCase,2.0,,,
HdlOp-InfixExpression-HdlOp-Assignment,6.0,,6.0,
HdlOp-InfixExpression-HdlOp-InfixExpression,12.0,,,
HdlOp-PrefixExpression-HdlOp-InfixExpression,6.0,,6.0,
HdlOp-TERNARY-HdlOp-Assignment,12.0,,,
HdlOp-InfixExpression-HdlOp-TERNARY,24.0,,,6.0
HdlOp-DOWNTO-HdlOp-MemberAccessing,,1.0,,
HdlOp-MemberAccessing-HdlOp-Assignment,,,,6.0
