,update,insert,delete,move
HdlIdDef-HdlModuleDef,156.0,86.0,40.0,1.0
HdlOp-PARAMETRIZATION-HdlIdDef,67.0,5.0,1.0,10.0
HdlOp-DOWNTO-HdlOp-PARAMETRIZATION,55.0,16.0,4.0,
HdlOp-InfixExpression-HdlOp-DOWNTO,41.0,43.0,,
HdlOp-InfixExpression-HdlIdDef,137.0,18.0,,6.0
HdlOp-MemberAccessing-HdlOp-InfixExpression,125.0,37.0,,
HdlStmCase-HdlStmProcess,20.0,4.0,10.0,
HdlStmIf-HdlStmProcess,222.0,3.0,16.0,
HdlStmProcess-HdlModuleDef,237.0,9.0,27.0,
HdlOp-RISING-HdlStmProcess,251.0,,2.0,8.0
HdlModuleDec-HdlModuleDef,110.0,48.0,48.0,
HdlIdDef-HdlModuleDec,93.0,26.0,4.0,
HdlStmAssign-HdlStmIf,35.0,1.0,12.0,2.0
HdlOp-InfixExpression-HdlOp-InfixExpression,221.0,73.0,,9.0
HdlOp-InfixExpression-HdlOp-MemberAccessing,129.0,34.0,76.0,
HdlOp-MemberAccessing-HdlOp-MemberAccessing,45.0,1.0,3.0,4.0
HdlOp-TERNARY-HdlIdDef,44.0,4.0,4.0,
HdlOp-MemberAccessing-HdlOp-TERNARY,52.0,,,
HdlOp-DOWNTO-HdlOp-MemberAccessing,4.0,,,
HdlOp-MemberAccessing-HdlIdDef,2.0,4.0,,
HdlOp-MemberAccessing-HdlStmAssign,11.0,,7.0,3.0
HdlStmAssign-HdlModuleDef,8.0,7.0,1.0,
HdlOp-Assignment-HdlStmCase,35.0,6.0,8.0,9.0
HdlOp-InfixExpression-HdlStmCase,9.0,,3.0,3.0
HdlOp-MemberAccessing-HdlOp-Assignment,3.0,,,
HdlOp-InfixExpression-HdlStmIf,54.0,2.0,,2.0
HdlOp-InfixExpression-HdlOp-TERNARY,38.0,1.0,,8.0
HdlOp-TERNARY-HdlOp-TERNARY,28.0,8.0,8.0,
HdlOp-TERNARY-HdlOp-Assignment,18.0,,1.0,1.0
HdlOp-PrefixExpression-HdlIdDef,8.0,,,
HdlOp-InfixExpression-HdlOp-PrefixExpression,8.0,,,
HdlOp-InfixExpression-HdlStmAssign,5.0,2.0,1.0,
HdlOp-PrefixExpression-HdlOp-InfixExpression,5.0,1.0,,
HdlOp-TERNARY-HdlStmAssign,1.0,1.0,,
HdlOp-MemberAccessing-HdlOp-PrefixExpression,1.0,,,
HdlDirection-HdlIdDef,,26.0,8.0,
HdlOp-PrefixExpression-HdlStmIf,,1.0,,
