,update,insert,move,delete
HdlStmIf-HdlStmIf,21.0,1.0,1.0,9.0
HdlStmAssign-HdlModuleDef,6.0,1.0,,3.0
HdlOp-MemberAccessing-HdlStmAssign,4.0,1.0,1.0,
HdlOp-MemberAccessing-HdlOp-MemberAccessing,18.0,2.0,,
HdlOp-Assignment-HdlStmIf,12.0,10.0,,11.0
HdlStmAssign-HdlStmIf,4.0,10.0,,
HdlStmAssign-HdlStmCase,2.0,2.0,,
HdlStmCase-HdlStmIf,2.0,,,
HdlOp-Assignment-HdlStmCase,7.0,2.0,,6.0
HdlIdDef-HdlModuleDef,2.0,,,6.0
HdlOp-InfixExpression-HdlStmIf,3.0,2.0,7.0,6.0
HdlOp-PrefixExpression-HdlOp-Assignment,2.0,,1.0,
HdlOp-InfixExpression-HdlOp-Assignment,1.0,1.0,3.0,
HdlOp-MemberAccessing-HdlOp-InfixExpression,1.0,,,
HdlOp-DOWNTO-HdlOp-MemberAccessing,,1.0,,
HdlOp-FunctionCall-HdlStmIf,,,5.0,5.0
