,update,insert,delete,move
HdlStmIf-HdlStmProcess,3.0,,,
HdlOp-Assignment-HdlStmIf,6.0,,,
HdlOp-InfixExpression-HdlOp-Assignment,5.0,,,
HdlIdDef-HdlModuleDef,3.0,4.0,4.0,
HdlOp-PARAMETRIZATION-HdlIdDef,3.0,,,
HdlOp-DOWNTO-HdlOp-PARAMETRIZATION,3.0,,,
HdlOp-InfixExpression-HdlOp-DOWNTO,2.0,,,
HdlStmAssign-HdlModuleDef,2.0,,,2.0
HdlOp-TERNARY-HdlStmAssign,2.0,,,
HdlOp-MemberAccessing-HdlOp-TERNARY,8.0,,,
HdlOp-TERNARY-HdlOp-TERNARY,4.0,,,
HdlOp-MemberAccessing-HdlOp-MemberAccessing,4.0,,,
HdlStmProcess-HdlModuleDef,1.0,1.0,,
HdlIdDef-HdlModuleDec,,,,1.0
