,update,insert,move,delete
HdlModuleDef-HdlContext,12.0,,,
HdlModuleDec-HdlModuleDef,214.0,,,
HdlStmIf-HdlStmIf,1.0,,,1.0
HdlStmIf-HdlModuleDef,5.0,1.0,,
HdlIdDef-HdlModuleDef,4.0,4.0,,4.0
HdlOp-PARAMETRIZATION-HdlIdDef,4.0,,2.0,
HdlStmAssign-HdlStmProcess,6.0,1.0,2.0,4.0
HdlOp-InfixExpression-HdlStmAssign,3.0,1.0,,2.0
HdlOp-PrefixExpression-HdlOp-InfixExpression,2.0,,,2.0
HdlStmAssign-HdlModuleDef,1.0,1.0,,
HdlStmProcess-HdlModuleDef,1.0,,,1.0
HdlStmIf-HdlStmProcess,1.0,2.0,,
HdlStmAssign-HdlStmIf,6.0,6.0,,
HdlOp-InfixExpression-HdlStmIf,6.0,2.0,3.0,3.0
HdlOp-InfixExpression-HdlOp-InfixExpression,6.0,9.0,6.0,
HdlOp-MemberAccessing-HdlStmAssign,1.0,1.0,,
HdlOp-InfixExpression-HdlOp-MemberAccessing,1.0,1.0,,
HdlIdDef-HdlModuleDec,,245.0,,
HdlStmWhile-HdlFunctionDef,,1.0,,
HdlStmProcess-HdlFunctionDef,,1.0,,
HdlStmFor-HdlFunctionDef,,1.0,,
HdlOp-RISING-HdlStmProcess,,1.0,,
HdlOp-FunctionCall-HdlStmIf,,,1.0,
HdlDirection-HdlIdDef,,,,2.0
