,update,insert,move,delete
HdlIdDef-HdlModuleDec,9.0,8.0,,
HdlOp-PARAMETRIZATION-HdlIdDef,9.0,,,
HdlOp-DOWNTO-HdlOp-PARAMETRIZATION,9.0,,,
HdlOp-InfixExpression-HdlOp-DOWNTO,4.0,3.0,,
HdlStmProcess-HdlModuleDef,6.0,,,
HdlStmCase-HdlStmProcess,3.0,,,
HdlOp-Assignment-HdlStmCase,3.0,3.0,,
HdlStmIf-HdlStmCase,6.0,1.0,,1.0
HdlStmIf-HdlStmIf,7.0,,,1.0
HdlOp-Assignment-HdlStmIf,3.0,,4.0,1.0
HdlIdDef-HdlModuleDef,2.0,4.0,,2.0
HdlStmIf-HdlStmProcess,2.0,1.0,,
HdlOp-MemberAccessing-HdlOp-Assignment,1.0,,,
HdlOp-DOWNTO-HdlOp-MemberAccessing,1.0,,,
HdlOp-PrefixExpression-HdlStmIf,1.0,3.0,,
HdlOp-MemberAccessing-HdlOp-PrefixExpression,1.0,,,
HdlStmFor-HdlStmProcess,1.0,,,
HdlOp-InfixExpression-HdlStmFor,1.0,,,
HdlOp-Assignment-HdlStmFor,1.0,,1.0,
HdlOp-InfixExpression-HdlOp-Assignment,2.0,,,
HdlStmIf-HdlStmFor,1.0,,,
HdlOp-InfixExpression-HdlStmIf,5.0,,6.0,2.0
HdlOp-InfixExpression-HdlOp-InfixExpression,4.0,2.0,2.0,2.0
HdlOp-PrefixExpression-HdlOp-InfixExpression,2.0,2.0,2.0,
HdlOp-Assignment-HdlStmProcess,3.0,5.0,1.0,
HdlStmFor-HdlModuleDef,,1.0,,
HdlStmAssign-HdlModuleDef,,1.0,,
HdlStmCase-HdlStmFor,,2.0,,
HdlIdDef-HdlStmIf,,,5.0,
