,update,insert,move,delete
HdlStmIf-HdlStmProcess,24.0,6.0,2.0,3.0
HdlStmProcess-HdlModuleDef,14.0,4.0,,4.0
HdlStmCase-HdlStmIf,10.0,1.0,,1.0
HdlStmIf-HdlStmCase,2.0,,,
HdlStmAssign-HdlStmCase,1.0,,,
HdlStmCase-HdlStmProcess,3.0,,,
HdlOp-MemberAccessing-HdlStmCase,2.0,1.0,,
HdlOp-MemberAccessing-HdlOp-MemberAccessing,5.0,,3.0,
HdlStmAssign-HdlModuleDef,11.0,7.0,,5.0
HdlOp-TERNARY-HdlStmAssign,13.0,4.0,2.0,1.0
HdlOp-InfixExpression-HdlOp-TERNARY,5.0,2.0,2.0,2.0
HdlOp-InfixExpression-HdlOp-InfixExpression,4.0,5.0,,
HdlOp-TERNARY-HdlOp-TERNARY,10.0,2.0,,1.0
HdlStmIf-HdlStmIf,1.0,2.0,2.0,3.0
HdlOp-Assignment-HdlStmCase,2.0,,1.0,2.0
HdlOp-MemberAccessing-HdlOp-Assignment,2.0,1.0,1.0,3.0
HdlOp-Assignment-HdlStmIf,1.0,1.0,7.0,
HdlOp-InfixExpression-HdlStmIf,6.0,10.0,3.0,3.0
HdlIdDef-HdlModuleDef,,3.0,,
HdlIdDef-HdlModuleDec,,2.0,,
