,update,insert,move,delete
HdlStmAssign-HdlStmIf,5,,,
HdlStmAssign-HdlModuleDef,4,,,
HdlOp-InfixExpression-HdlStmAssign,2,1.0,,
HdlStmProcess-HdlModuleDef,3,,,
HdlOp-FALLING-HdlStmProcess,1,1.0,,
HdlOp-PrefixExpression-HdlStmAssign,1,,,
HdlIdDef-HdlModuleDef,2,,,
HdlOp-MemberAccessing-HdlIdDef,2,,,
HdlOp-DOWNTO-HdlOp-MemberAccessing,2,,,
HdlOp-InfixExpression-HdlOp-DOWNTO,1,1.0,,
HdlStmIf-HdlStmProcess,4,,,
HdlOp-InfixExpression-HdlStmIf,4,,,2.0
HdlOp-InfixExpression-HdlOp-InfixExpression,2,2.0,2.0,
HdlOp-MemberAccessing-HdlStmAssign,4,,,
HdlOp-InfixExpression-HdlOp-MemberAccessing,4,,,4.0
HdlStmFor-HdlFunctionDef,1,,,
HdlOp-InfixExpression-HdlStmFor,1,,,
HdlOp-FunctionCall-HdlStmFor,1,,,
HdlOp-InfixExpression-HdlOp-FunctionCall,1,,,1.0
HdlStmAssign-HdlStmFor,2,,,
HdlStmIf-HdlStmIf,2,,,
