,update,insert,move,delete
HdlStmCase-HdlStmIf,44.0,,,
HdlStmCase-HdlStmProcess,60.0,,,
HdlStmProcess-HdlModuleDef,38.0,,,1.0
HdlOp-Assignment-HdlStmProcess,19.0,46.0,5.0,23.0
HdlStmIf-HdlStmProcess,33.0,,,
HdlStmIf-HdlStmCase,24.0,,,
HdlIdDef-HdlModuleDef,3.0,2.0,1.0,1.0
HdlStmIf-HdlStmIf,41.0,,,
HdlOp-InfixExpression-HdlStmIf,26.0,1.0,,
HdlIdDef-HdlModuleDec,1.0,3.0,,
HdlOp-FALLING-HdlStmProcess,1.0,,,
HdlOp-PrefixExpression-HdlStmIf,1.0,,,
HdlOp-Assignment-HdlStmIf,48.0,,8.0,8.0
HdlOp-PrefixExpression-HdlOp-Assignment,8.0,,,
HdlOp-MemberAccessing-HdlOp-PrefixExpression,8.0,8.0,,
HdlOp-Assignment-HdlStmCase,410.0,2.0,23.0,60.0
HdlOp-FunctionCall-HdlStmCase,1.0,64.0,,87.0
HdlOp-InfixExpression-HdlOp-Assignment,96.0,,,
HdlOp-InfixExpression-HdlOp-InfixExpression,96.0,,,
HdlOp-MemberAccessing-HdlOp-InfixExpression,64.0,,,
HdlOp-MemberAccessing-HdlOp-Assignment,,13.0,,
HdlOp-MemberAccessing-HdlOp-FunctionCall,,,3.0,
HdlOp-FunctionCall-HdlStmIf,,,,2.0
