,insert,update,delete,move
HdlIdDef-HdlModuleDec,1.0,,,
HdlStmProcess-HdlModuleDef,2.0,4.0,2.0,
HdlOp-RISING-HdlStmProcess,1.0,,2.0,1.0
HdlIdDef-HdlModuleDef,1.0,1.0,2.0,
HdlStmAssign-HdlModuleDef,1.0,2.0,1.0,
HdlStmAssign-HdlStmIf,1.0,,1.0,
HdlOp-InfixExpression-HdlIdDef,,1.0,1.0,
HdlOp-InfixExpression-HdlOp-InfixExpression,,8.0,5.0,1.0
HdlOp-PrefixExpression-HdlOp-InfixExpression,,1.0,2.0,
HdlStmIf-HdlStmProcess,,4.0,1.0,
HdlOp-InfixExpression-HdlStmIf,,4.0,,1.0
HdlDirection-HdlIdDef,,,1.0,
HdlOp-TERNARY-HdlStmAssign,,,1.0,
HdlOp-MemberAccessing-HdlStmAssign,,,,1.0
