,insert,update,delete,move
HdlIdDef-HdlModuleDef,14.0,,8.0,
HdlOp-FALLING-HdlStmProcess,11.0,,,
HdlOp-InfixExpression-HdlStmAssign,1.0,2.0,,
HdlOp-PrefixExpression-HdlOp-InfixExpression,3.0,5.0,2.0,1.0
HdlOp-InfixExpression-HdlOp-InfixExpression,1.0,42.0,4.0,
HdlFunctionDef-HdlModuleDef,3.0,10.0,2.0,
HdlStmIf-HdlFunctionDef,2.0,4.0,2.0,
HdlStmCase-HdlStmIf,1.0,8.0,1.0,
HdlStmNop-HdlStmCase,1.0,,,
HdlStmProcess-HdlModuleDef,1.0,24.0,,
HdlOp-Assignment-HdlStmProcess,2.0,12.0,,
HdlOp-FunctionCall-HdlStmCase,4.0,2.0,,
HdlOp-MemberAccessing-HdlOp-PrefixExpression,2.0,,,
HdlIdDef-HdlModuleDec,3.0,11.0,3.0,
HdlStmAssign-HdlStmCase,1.0,,,
HdlOp-MemberAccessing-HdlOp-InfixExpression,3.0,3.0,,2.0
HdlOp-InfixExpression-HdlOp-DOWNTO,15.0,15.0,,
HdlOp-MemberAccessing-HdlOp-Assignment,4.0,28.0,,
HdlOp-DOWNTO-HdlOp-MemberAccessing,4.0,24.0,,
HdlOp-MemberAccessing-HdlStmAssign,1.0,3.0,,
HdlStmIf-HdlStmIf,,30.0,,
HdlOp-InfixExpression-HdlStmIf,,14.0,,2.0
HdlOp-PrefixExpression-HdlStmIf,,1.0,,
HdlOp-PARAMETRIZATION-HdlIdDef,,7.0,,
HdlOp-DOWNTO-HdlOp-PARAMETRIZATION,,7.0,,
HdlStmIf-HdlStmProcess,,22.0,,
HdlStmAssign-HdlStmIf,,20.0,,
HdlIdDef-HdlFunctionDef,,1.0,,
HdlStmCase-HdlStmProcess,,48.0,,
HdlStmCase-HdlStmCase,,54.0,,
HdlOp-Assignment-HdlStmCase,,24.0,,
HdlOp-InfixExpression-HdlOp-Assignment,,9.0,,
HdlStmIf-HdlStmCase,,1.0,,
HdlOp-Assignment-HdlStmIf,,26.0,,
HdlStmCase-HdlFunctionDef,,1.0,,
HdlStmAssign-HdlModuleDef,,1.0,2.0,
HdlOp-TERNARY-HdlStmAssign,,1.0,1.0,
HdlOp-Assignment-HdlFunctionDef,,6.0,,
HdlStmFor-HdlModuleDef,,,1.0,
HdlOp-MemberAccessing-HdlStmCase,,,,4.0
HdlOp-PrefixExpression-HdlOp-TERNARY,,,,1.0
