,update,insert,move,delete
HdlIdDef-HdlModuleDec,3.0,2.0,1.0,
HdlStmAssign-HdlStmIf,20.0,4.0,6.0,4.0
HdlStmCase-HdlStmIf,42.0,4.0,,
HdlStmAssign-HdlStmCase,11.0,4.0,,2.0
HdlStmIf-HdlStmCase,8.0,2.0,,
HdlOp-PrefixExpression-HdlStmIf,7.0,,,
HdlOp-InfixExpression-HdlStmIf,26.0,3.0,2.0,6.0
HdlStmAssign-HdlStmProcess,3.0,,1.0,
HdlOp-TERNARY-HdlStmAssign,9.0,3.0,2.0,1.0
HdlOp-PrefixExpression-HdlStmAssign,2.0,,,
HdlOp-MemberAccessing-HdlOp-PrefixExpression,1.0,1.0,,
HdlOp-InfixExpression-HdlStmAssign,8.0,3.0,,1.0
HdlOp-PrefixExpression-HdlOp-InfixExpression,18.0,5.0,1.0,14.0
HdlStmIf-HdlStmProcess,51.0,8.0,7.0,5.0
HdlStmAssign-HdlModuleDef,4.0,13.0,,1.0
HdlOp-InfixExpression-HdlOp-InfixExpression,15.0,6.0,4.0,
HdlStmProcess-HdlModuleDef,18.0,10.0,9.0,2.0
HdlModuleDef-HdlContext,13.0,,13.0,
HdlDirection-HdlIdDef,2.0,,,
HdlOp-PARAMETRIZATION-HdlIdDef,1.0,,,
HdlOp-DOWNTO-HdlOp-PARAMETRIZATION,1.0,,,
HdlOp-InfixExpression-HdlOp-DOWNTO,1.0,,,
HdlOp-MemberAccessing-HdlStmAssign,5.0,1.0,,
HdlModuleDec-HdlModuleDef,12.0,6.0,,6.0
HdlOp-DOWNTO-HdlOp-MemberAccessing,1.0,,,
HdlOp-InfixExpression-HdlOp-TERNARY,1.0,,,
HdlIdDef-HdlModuleDef,1.0,10.0,24.0,
HdlOp-MemberAccessing-HdlOp-TERNARY,,1.0,,
HdlOp-TERNARY-HdlOp-TERNARY,,,1.0,
