,insert,delete,update,move
HdlIdDef-HdlModuleDef,8.0,,8.0,8.0
HdlStmAssign-HdlModuleDef,2.0,2.0,3.0,
HdlStmProcess-HdlModuleDef,7.0,3.0,8.0,5.0
HdlOp-InfixExpression-HdlStmIf,1.0,,12.0,
HdlOp-InfixExpression-HdlOp-InfixExpression,3.0,,8.0,
HdlOp-PrefixExpression-HdlOp-InfixExpression,3.0,,1.0,
HdlStmAssign-HdlStmProcess,2.0,3.0,11.0,
HdlOp-InfixExpression-HdlStmAssign,2.0,,3.0,1.0
HdlOp-Assignment-HdlStmProcess,2.0,,,
HdlOp-Assignment-HdlStmIf,3.0,,1.0,1.0
HdlStmIf-HdlStmProcess,,,8.0,
HdlStmIf-HdlStmCase,,,4.0,
HdlStmAssign-HdlStmIf,,,21.0,
HdlStmIf-HdlStmIf,,,1.0,
HdlStmAssign-HdlStmCase,,,8.0,
HdlOp-MemberAccessing-HdlStmAssign,,,8.0,
