,update,insert,move,delete
HdlIdDef-HdlModuleDec,134.0,18.0,,1.0
HdlOp-InfixExpression-HdlIdDef,56.0,,,1.0
HdlOp-InfixExpression-HdlOp-InfixExpression,118.0,55.0,12.0,12.0
HdlStmCase-HdlStmProcess,174.0,,,
HdlOp-Assignment-HdlStmCase,100.0,164.0,39.0,59.0
HdlOp-InfixExpression-HdlOp-Assignment,17.0,,,5.0
HdlOp-TERNARY-HdlOp-InfixExpression,3.0,,,
HdlOp-InfixExpression-HdlOp-TERNARY,3.0,,,
HdlIdDef-HdlModuleDef,138.0,140.0,2.0,52.0
HdlStmAssign-HdlModuleDef,31.0,39.0,2.0,46.0
HdlOp-InfixExpression-HdlStmAssign,25.0,3.0,3.0,2.0
HdlStmIf-HdlStmIf,120.0,28.0,3.0,
HdlOp-Assignment-HdlStmIf,77.0,55.0,11.0,16.0
HdlStmIf-HdlStmProcess,70.0,13.0,11.0,6.0
HdlStmProcess-HdlModuleDef,239.0,2.0,4.0,2.0
HdlStmIf-HdlStmCase,95.0,3.0,1.0,1.0
HdlOp-InfixExpression-HdlStmIf,66.0,25.0,8.0,7.0
HdlStmAssign-HdlStmFor,6.0,14.0,,
HdlStmFor-HdlStmIf,7.0,,,
HdlOp-Assignment-HdlStmFor,15.0,,,14.0
HdlStmAssign-HdlStmIf,73.0,47.0,59.0,104.0
HdlOp-Assignment-HdlStmProcess,205.0,100.0,21.0,25.0
HdlOp-PARAMETRIZATION-HdlIdDef,32.0,2.0,2.0,
HdlOp-DOWNTO-HdlOp-PARAMETRIZATION,34.0,,,
HdlOp-MemberAccessing-HdlStmAssign,21.0,10.0,9.0,8.0
HdlOp-PrefixExpression-HdlOp-InfixExpression,11.0,2.0,9.0,
HdlOp-FunctionCall-HdlIdDef,1.0,,,
HdlOp-MemberAccessing-HdlOp-Assignment,78.0,75.0,14.0,
HdlOp-MemberAccessing-HdlOp-MemberAccessing,15.0,8.0,,8.0
HdlOp-InfixExpression-HdlOp-MemberAccessing,15.0,10.0,,
HdlOp-MemberAccessing-HdlIdDef,42.0,23.0,1.0,5.0
HdlIdDef-HdlStmFor,3.0,1.0,,
HdlOp-InfixExpression-HdlOp-DOWNTO,26.0,,,
HdlStmFor-HdlStmProcess,2.0,,,
HdlOp-InfixExpression-HdlStmFor,3.0,,,
HdlOp-PARAMETRIZATION-HdlOp-MemberAccessing,2.0,,,
HdlOp-MemberAccessing-HdlOp-InfixExpression,10.0,,2.0,2.0
HdlOp-InfixExpression-HdlOp-PrefixExpression,2.0,,,
HdlStmIf-HdlStmFor,6.0,1.0,,
HdlModuleDef-HdlContext,4.0,,4.0,
HdlStmIf-HdlModuleDef,2.0,,,
HdlStmCase-HdlStmIf,5.0,,,
HdlOp-TERNARY-HdlIdDef,2.0,,,
HdlOp-FunctionCall-HdlOp-TERNARY,3.0,1.0,1.0,
HdlOp-InfixExpression-HdlOp-FunctionCall,1.0,,,
HdlStmAssign-HdlStmProcess,,6.0,7.0,3.0
HdlIdDef-HdlStmIf,,2.0,,
HdlStmProcess-HdlStmIf,,1.0,,
HdlOp-PrefixExpression-HdlStmIf,,,2.0,1.0
