,insert,delete,update,move
HdlStmProcess-HdlModuleDef,1.0,,1.0,
HdlStmAssign-HdlModuleDef,1.0,,,
HdlOp-DOWNTO-HdlOp-MemberAccessing,4.0,10.0,3.0,2.0
HdlOp-MemberAccessing-HdlOp-MemberAccessing,4.0,13.0,33.0,6.0
HdlStmAssign-HdlStmIf,2.0,,5.0,1.0
HdlStmIf-HdlStmIf,1.0,,8.0,
HdlOp-InfixExpression-HdlStmIf,2.0,1.0,4.0,3.0
HdlIdDef-HdlModuleDef,3.0,1.0,3.0,
HdlOp-PARAMETRIZATION-HdlIdDef,1.0,,1.0,1.0
HdlDirection-HdlIdDef,1.0,,,1.0
HdlOp-MemberAccessing-HdlIdDef,1.0,1.0,2.0,
HdlStmIf-HdlStmCase,1.0,,1.0,
HdlStmAssign-HdlStmCase,1.0,1.0,14.0,3.0
HdlOp-MemberAccessing-HdlStmAssign,1.0,3.0,19.0,
HdlIdDef-HdlModuleDec,,3.0,2.0,
HdlStmCase-HdlStmIf,,,4.0,
HdlStmAssign-HdlStmProcess,,,1.0,
HdlOp-DOWNTO-HdlOp-PARAMETRIZATION,,,1.0,
HdlOp-InfixExpression-HdlOp-DOWNTO,,,1.0,
HdlStmIf-HdlStmProcess,,,1.0,1.0
HdlOp-PrefixExpression-HdlOp-MemberAccessing,,,1.0,1.0
HdlOp-MemberAccessing-HdlOp-PrefixExpression,,,2.0,
HdlOp-InfixExpression-HdlOp-InfixExpression,,,1.0,
HdlOp-MemberAccessing-HdlOp-InfixExpression,,,1.0,
HdlOp-PrefixExpression-HdlOp-InfixExpression,,,1.0,
