,insert,delete,update,move
HdlLibrary-HdlContext,4.0,3.0,,
HdlIdDef-HdlModuleDec,34.0,19.0,82.0,13.0
HdlIdDef-HdlModuleDef,28.0,23.0,19.0,
HdlOp-DOWNTO-HdlOp-PARAMETRIZATION,1.0,,14.0,
HdlStmAssign-HdlStmIf,8.0,10.0,22.0,4.0
HdlStmAssign-HdlModuleDef,11.0,7.0,36.0,3.0
HdlOp-InfixExpression-HdlOp-InfixExpression,10.0,2.0,19.0,1.0
HdlOp-InfixExpression-HdlStmAssign,2.0,1.0,19.0,3.0
HdlOp-PrefixExpression-HdlOp-InfixExpression,4.0,1.0,7.0,3.0
HdlStmProcess-HdlModuleDef,13.0,9.0,24.0,
HdlOp-TERNARY-HdlStmAssign,1.0,2.0,7.0,
HdlOp-MemberAccessing-HdlOp-TERNARY,2.0,4.0,4.0,4.0
HdlOp-InfixExpression-HdlIdDef,1.0,,1.0,1.0
HdlStmIf-HdlStmProcess,2.0,2.0,11.0,2.0
HdlOp-InfixExpression-HdlStmIf,1.0,3.0,9.0,
HdlOp-Assignment-HdlStmCase,70.0,5.0,25.0,6.0
HdlOp-InfixExpression-HdlOp-Assignment,7.0,,7.0,
HdlStmAssign-HdlStmProcess,4.0,6.0,8.0,1.0
HdlOp-InfixExpression-HdlOp-DOWNTO,1.0,,1.0,
HdlOp-PARAMETRIZATION-HdlIdDef,4.0,5.0,18.0,2.0
HdlStmCase-HdlStmProcess,1.0,1.0,14.0,
HdlOp-InfixExpression-HdlOp-PrefixExpression,,2.0,2.0,
HdlOp-MemberAccessing-HdlStmAssign,,1.0,6.0,1.0
HdlStmIf-HdlStmCase,,1.0,18.0,1.0
HdlOp-Assignment-HdlStmIf,,1.0,5.0,1.0
HdlStmIf-HdlStmIf,,1.0,15.0,1.0
HdlOp-MemberAccessing-HdlOp-MemberAccessing,,1.0,4.0,1.0
HdlDirection-HdlIdDef,,1.0,13.0,
HdlOp-MemberAccessing-HdlIdDef,,,8.0,
HdlOp-DOWNTO-HdlOp-MemberAccessing,,,12.0,
HdlOp-PrefixExpression-HdlStmAssign,,,2.0,1.0
HdlStmAssign-HdlStmCase,,,2.0,
HdlOp-TERNARY-HdlOp-MemberAccessing,,,3.0,
HdlOp-PrefixExpression-HdlStmIf,,,21.0,1.0
HdlOp-Assignment-HdlStmProcess,,,8.0,
HdlOp-PrefixExpression-HdlOp-Assignment,,,10.0,5.0
HdlStmCase-HdlStmIf,,,2.0,
HdlOp-MemberAccessing-HdlOp-Assignment,,,4.0,
HdlOp-InfixExpression-HdlOp-TERNARY,,,1.0,
HdlOp-MemberAccessing-HdlOp-InfixExpression,,,1.0,
HdlOp-RISING-HdlStmProcess,,,2.0,
HdlOp-FALLING-HdlStmProcess,,,1.0,
HdlModuleDef-HdlContext,,,1.0,
