,insert,update,move,delete
HdlIdDef-HdlModuleDef,10.0,9.0,7.0,2.0
HdlStmProcess-HdlModuleDef,2.0,2.0,6.0,
HdlDirection-HdlIdDef,3.0,,,2.0
HdlStmIf-HdlStmProcess,2.0,9.0,,
HdlStmAssign-HdlStmIf,8.0,8.0,,
HdlIdDef-HdlModuleDec,4.0,4.0,,
HdlOp-Assignment-HdlStmCase,2.0,,1.0,
HdlOp-InfixExpression-HdlStmIf,12.0,40.0,8.0,
HdlOp-InfixExpression-HdlOp-InfixExpression,10.0,3.0,2.0,
HdlStmAssign-HdlModuleDef,7.0,15.0,,6.0
HdlModuleDef-HdlContext,8.0,20.0,,8.0
HdlOp-MemberAccessing-HdlIdDef,2.0,6.0,,2.0
HdlOp-TERNARY-HdlStmAssign,6.0,12.0,,6.0
HdlOp-InfixExpression-HdlOp-TERNARY,30.0,,,30.0
HdlOp-TERNARY-HdlOp-TERNARY,24.0,48.0,,24.0
HdlLibrary-HdlContext,1.0,,,1.0
HdlStmCase-HdlFunctionDef,,3.0,,
HdlStmCase-HdlStmIf,,2.0,2.0,
HdlOp-InfixExpression-HdlStmAssign,,7.0,1.0,
HdlOp-DOWNTO-HdlOp-MemberAccessing,,18.0,,
HdlOp-MemberAccessing-HdlOp-InfixExpression,,16.0,,
HdlStmIf-HdlStmIf,,12.0,,
HdlModuleDec-HdlContext,,,3.0,
HdlOp-MemberAccessing-HdlOp-TERNARY,,,36.0,
