,move,insert,update,delete
HdlIdDef-HdlModuleDec,12.0,22.0,8.0,9.0
HdlOp-FunctionCall-HdlStmIf,1.0,,,
HdlOp-InfixExpression-HdlStmAssign,1.0,1.0,5.0,
HdlOp-PrefixExpression-HdlStmIf,1.0,,,
HdlStmAssign-HdlStmIf,1.0,6.0,10.0,1.0
HdlStmCase-HdlStmProcess,4.0,,1.0,
HdlOp-InfixExpression-HdlOp-InfixExpression,1.0,1.0,4.0,
HdlOp-TERNARY-HdlStmAssign,1.0,,6.0,
HdlStmProcess-HdlModuleDef,3.0,3.0,13.0,1.0
HdlIdDef-HdlModuleDef,1.0,22.0,1.0,8.0
HdlOp-FunctionCall-HdlStmProcess,2.0,,,
HdlOp-FunctionCall-HdlFunctionDef,6.0,35.0,,
HdlStmNop-HdlStmIf,,1.0,,
HdlStmIf-HdlStmProcess,,1.0,3.0,1.0
HdlOp-Assignment-HdlStmProcess,,4.0,3.0,
HdlStmAssign-HdlModuleDef,,5.0,7.0,
HdlOp-InfixExpression-HdlOp-TERNARY,,1.0,1.0,
HdlOp-Assignment-HdlFunctionDef,,14.0,,3.0
HdlStmRepeat-HdlFunctionDef,,2.0,,
HdlStmIf-HdlFunctionDef,,,2.0,
HdlOp-PARAMETRIZATION-HdlIdDef,,,2.0,
HdlOp-DOWNTO-HdlOp-PARAMETRIZATION,,,2.0,
HdlStmCase-HdlStmIf,,,4.0,
HdlOp-Assignment-HdlStmCase,,,5.0,
HdlOp-Assignment-HdlStmIf,,,1.0,
HdlOp-InfixExpression-HdlOp-Assignment,,,1.0,
HdlOp-PrefixExpression-HdlOp-InfixExpression,,,1.0,
HdlModuleDef-HdlContext,,,2.0,
HdlOp-MemberAccessing-HdlStmAssign,,,6.0,
HdlFunctionDef-HdlModuleDef,,,6.0,
