,delete,update,move,insert
HdlIdDef-HdlModuleDec,21.0,102.0,26.0,58.0
HdlOp-InfixExpression-HdlStmAssign,18.0,127.0,20.0,27.0
HdlOp-PrefixExpression-HdlOp-InfixExpression,20.0,54.0,15.0,32.0
HdlOp-Assignment-HdlStmProcess,21.0,38.0,6.0,14.0
HdlOp-InfixExpression-HdlOp-InfixExpression,62.0,351.0,55.0,110.0
HdlStmProcess-HdlModuleDef,36.0,62.0,5.0,59.0
HdlOp-InfixExpression-HdlOp-TERNARY,5.0,13.0,6.0,2.0
HdlOp-TERNARY-HdlStmAssign,6.0,24.0,2.0,2.0
HdlStmIf-HdlStmProcess,20.0,276.0,13.0,42.0
HdlOp-FunctionCall-HdlStmIf,1.0,2.0,5.0,1.0
HdlStmIf-HdlStmIf,7.0,186.0,11.0,45.0
HdlStmAssign-HdlStmIf,48.0,236.0,48.0,80.0
HdlOp-MemberAccessing-HdlOp-InfixExpression,35.0,62.0,19.0,15.0
HdlOp-InfixExpression-HdlStmIf,32.0,290.0,51.0,62.0
HdlOp-MemberAccessing-HdlOp-PrefixExpression,5.0,24.0,,1.0
HdlIdDef-HdlModuleDef,48.0,25.0,25.0,100.0
HdlStmAssign-HdlStmProcess,5.0,21.0,7.0,5.0
HdlStmCase-HdlStmIf,5.0,13.0,3.0,2.0
HdlStmProcess-HdlStmIf,16.0,39.0,9.0,10.0
HdlStmAssign-HdlModuleDef,17.0,56.0,3.0,45.0
HdlOp-InfixExpression-HdlIdDef,1.0,4.0,,
HdlOp-Assignment-HdlStmCase,7.0,8.0,1.0,7.0
HdlOp-PARAMETRIZATION-HdlIdDef,4.0,44.0,,1.0
HdlStmIf-HdlModuleDef,8.0,105.0,,21.0
HdlStmCase-HdlStmProcess,6.0,12.0,,5.0
HdlOp-DOWNTO-HdlOp-MemberAccessing,9.0,69.0,1.0,6.0
HdlStmAssign-HdlStmCase,6.0,40.0,7.0,
HdlOp-MemberAccessing-HdlOp-MemberAccessing,4.0,68.0,10.0,12.0
HdlOp-PrefixExpression-HdlStmIf,2.0,5.0,14.0,8.0
HdlOp-InfixExpression-HdlOp-DOWNTO,6.0,99.0,2.0,6.0
HdlOp-MemberAccessing-HdlStmAssign,3.0,77.0,19.0,12.0
HdlOp-Assignment-HdlStmIf,4.0,19.0,1.0,10.0
HdlOp-MemberAccessing-HdlStmCase,1.0,1.0,7.0,2.0
HdlIdDef-HdlStmIf,2.0,2.0,3.0,7.0
HdlOp-MemberAccessing-HdlIdDef,2.0,9.0,,2.0
HdlDirection-HdlIdDef,2.0,4.0,,5.0
HdlOp-DOWNTO-HdlOp-PARAMETRIZATION,1.0,37.0,,
HdlOp-FunctionCall-HdlOp-InfixExpression,1.0,4.0,1.0,1.0
HdlOp-PrefixExpression-HdlStmAssign,1.0,10.0,1.0,3.0
HdlOp-PARAMETRIZATION-HdlOp-MemberAccessing,1.0,2.0,1.0,1.0
HdlOp-MemberAccessing-HdlOp-Assignment,,27.0,7.0,2.0
HdlOp-InfixExpression-HdlOp-Assignment,,7.0,1.0,
HdlStmIf-HdlStmCase,,11.0,,6.0
HdlFunctionDef-HdlModuleDef,,4.0,,1.0
HdlOp-Assignment-HdlFunctionDef,,4.0,,2.0
HdlOp-InfixExpression-HdlOp-MemberAccessing,,14.0,1.0,3.0
HdlOp-TERNARY-HdlOp-MemberAccessing,,4.0,,2.0
HdlStmFor-HdlStmIf,,10.0,2.0,
HdlOp-InfixExpression-HdlOp-FunctionCall,,6.0,,2.0
HdlStmIf-HdlStmFor,,1.0,,
HdlStmFor-HdlStmFor,,6.0,2.0,
HdlOp-InfixExpression-HdlStmFor,,8.0,,2.0
HdlStmProcess-HdlStmFor,,4.0,2.0,
HdlOp-TERNARY-HdlOp-TERNARY,,7.0,,
HdlOp-MemberAccessing-HdlOp-TERNARY,,3.0,1.0,3.0
HdlOp-TERNARY-HdlIdDef,,2.0,,
HdlOp-FunctionCall-HdlOp-PrefixExpression,,2.0,,
HdlOp-FunctionCall-HdlOp-FunctionCall,,1.0,1.0,
HdlOp-PrefixExpression-HdlOp-Assignment,,2.0,1.0,2.0
HdlOp-PrefixExpression-HdlOp-TERNARY,,2.0,,
HdlOp-FunctionCall-HdlOp-Assignment,,1.0,,
HdlStmWait-HdlStmProcess,,,6.0,
HdlStmNop-HdlStmIf,,,,1.0
HdlOp-MemberAccessing-HdlStmIf,,,,1.0
HdlOp-TERNARY-HdlOp-InfixExpression,,,,1.0
