NO.,Project,All Commits,All collected patch-related Commits,LOC
1,oscilloscope,3,0,322
2,i2crepeater,2,0,185
3,usb_phy,10,4,1091
4,sha3,8,0,1117
5,pci_blue_interface,80,4,18259
6,srdydrdy_lib,31,8,15458
7,wb_size_bridge,7,0,1372
8,seqalign,2,0,279
9,bubblesortmodule,5,0,475
10,async_sdm_noc,39,5,10739
11,or1200_hp,3,0,98948
12,psg16,3,0,2556
13,rtfbitmapcontroller,13,0,833
14,spicxif,2,0,484
15,turbo8051,75,0,46217
16,risc16f84,5,0,963
17,aemb,186,32,6701
18,rtf8088,8,5,6703
19,aes-128_pipelined_encryption,2,0,835
20,tiny_tate_bilinear_pairing,19,2,7220
21,fast_log,6,0,448
22,mmuart,5,0,253
23,i2clcd,9,0,128
24,bustap-jtag,19,1,4984
25,sbd_sqrt_fp,2,0,611
26,xge_mac,5,1,5215
27,spigpio,5,0,152
28,ca_prng,4,2,1311
29,edge,2,0,4924
30,mips32r1,13,1,10588
31,dbg_interface,123,27,4493
32,xgate,102,26,6620
33,freq_div,5,2,184
34,uart16550,97,49,8956
35,axi_slave,13,2,1438
36,dmt_tx,21,1,1102
37,versatile_library,153,5,24999
38,wb_to_amba,4,0,815
39,avr8,4,0,356
40,othellogame,3,0,5886
41,pcie_vera_tb,6,0,204
42,viterb_encoder_and_decoder,3,0,1624
43,tv80,34,12,10752
44,virtual_rs232_terminal_with_lvds_lcd,2,0,2431
45,alu_with_selectable_inputs_and_outputs,2,0,2178
46,1000base-x,6,0,7770
47,m16c5x,3,0,6314
48,blue,4,1,1957
49,navre,3,0,899
50,apbi2c,25,1,3946
51,ssp_uart,4,0,2874
52,robust_ahb_matrix,10,0,550
53,datetime,2,0,561
54,next186,19,12,2725
55,serial_div_uu,2,0,394
56,opencores,4,0,4077
57,tcp_socket,5,0,6150
58,usb2uart,8,1,14311
59,spislave,13,0,92
60,zx_ula,9,0,2469
61,sd_card_controller,13,1,6520
62,hpdmc,9,3,4134
63,warp,2,0,2195
64,Aquarius,9,1,10575
65,minsoc,165,30,20016
66,wb_prefetch_spram,8,1,730
67,or1200gct,7,2,1080
68,pipelined_fft_256,2,0,2213
69,rs_decoder_31_19_6,2,0,1278
70,dma_ahb,4,0,21640
71,test,50,0,5144
72,spimaster,3,0,4115
73,alternascope,11,9,3211
74,ps2_host_controller,4,0,504
75,kiss-board,9,1,55806
76,sgmii,27,2,90465
77,ao68000,18,6,5927
78,lwrisc,17,0,3557
79,fsl2serial,2,0,828
80,unconfuser,2,0,681
81,wb_conbus,4,1,1864
82,verilog_cordic_core,2,0,379
83,xtea,6,1,192
84,binary_to_bcd,2,0,358
85,watchdog,3,0,184
86,irda,14,7,7159
87,fixed_point_arithmetic_parameterized,3,2,635
88,apb_slave,9,0,414
89,robust_reg,15,2,162
90,wbif_68k,4,2,157
91,aes-encryption,3,0,4590
92,rtc,18,4,1327
93,rtf68ksys,7,0,12846
94,wdsp,14,1,34782
95,axi_master,21,2,2962
96,verilog_fixed_point_math_library,10,0,417
97,instruction_list_pipelined_processor_with_peripherals,13,0,3677
98,mmu180,3,0,243
99,10_100m_ethernet-fifo_convertor,9,2,750
100,wb_flash,2,0,112
101,i2cgpio,3,0,64
102,i2c_to_wb,5,0,1327
103,sudoku,6,1,2719
104,s1_core,104,7,148124
105,fpu,4,3,2077
106,memory_sizer,2,0,921
107,cfi_ctrl,2,0,5943
108,round_robin_arbiter,2,0,219
109,altor32,3,0,12854
110,sdcard_mass_storage_controller,127,1,12587
111,versatile_io,17,0,1905
112,pci,13,2,66990
113,dpsfmnce,3,1,216
114,fade_ether_protocol,11,2,16759
115,fpga-median,3,0,1285
116,pairing,33,2,2231
117,xilinx_virtex_fp_library,19,0,8533
118,macroblock_motion_detection,18,3,3357
119,smii,5,1,3061
120,fftprocessor,3,0,2153
121,md5,2,0,1833
122,vitdec,5,0,287
123,pci_express_crc,2,0,189
124,usb_device_core,4,0,3314
125,spicc,2,0,198
126,m65c02,2,0,5681
127,bilinear_demosaic,2,0,1770
128,opb_vga_char_display_nodac,3,0,3009
129,reed_solomon_decoder,5,1,4372
130,ss_pcm,3,0,220
131,two_dimensional_fast_hartley_transform,8,0,1108
132,gcm-aes,3,0,1760
133,amber,81,21,36845
134,nova,9,0,25759
135,usb1_funct,8,2,4504
136,csa,20,3,2135
137,des,8,1,3712
138,oks8,8,0,1957
139,usbhostslave,13,4,82776
140,numbert_sort_device,7,2,2061
141,pipelined_fft_128,2,0,2969
142,y80e,6,0,8111
143,dma_axi,4,0,22723
144,boundaries,2,0,1539
145,pwm,6,0,447
146,lpc,3,0,372
147,sasc,4,2,595
148,scan_based_serial_communication,13,3,176
149,cde,2,0,988
150,hd63701,2,0,901
151,ts7300_opencore,4,2,12699
152,fht,2,0,106
153,vg_z80_sbc,34,8,11069
154,theia_gpu,138,14,9351
155,fast_antilog,2,0,110
156,ahb_master,14,2,3938
157,microprocessor,2,0,2094
158,ae18,19,6,1632
159,double_fpu,6,5,2347
160,openmsp430,197,39,168969
161,sata_phy,16,0,3845
162,6809_6309_compatible_core,13,5,3911
163,jtag,13,1,991
164,rc4-prbs,20,0,154
165,osdvu,4,0,213
166,rtftextcontroller,24,0,1974
167,robust_axi2apb,13,1,845
168,mips789,53,7,3967
169,gpio,3,0,1987
170,adder,3,0,439
171,raptor64,53,11,18426
172,i2s_to_wb,2,0,1044
173,de1_olpcl2294_system,10,0,4401
174,video_stream_scaler,2,0,877
175,sha_core,2,0,2385
176,sparc64soc,8,1,160161
177,iso7816_3_master,20,6,3259
178,cachecontroller,4,0,320
179,wb_verilog,4,0,350
180,aoocs,2,0,18054
181,i2c,79,36,4173
182,openriscdevboard,2,0,65652
183,ac97,15,4,5519
184,ram_wb,8,0,180
185,opb_wb_wrapper,1,0,182
186,robust_axi_fabric,23,6,1433
187,natalius_8bit_risc,14,0,1106
188,i2cslave,4,0,2793
189,an-fpga-implementation-of-low-latency-noc-based-mpsoc,15,2,21620
190,simple_gpio,3,1,190
191,ptc,10,1,965
192,brisc,2,0,406
193,brsfmnce,3,1,237
194,spi,16,5,1043
195,ha1588,70,4,9640
196,common,40,3,17465
197,socgen,11,1,23265
198,m1_core,52,3,12989
199,wb_mcs51,3,0,83
200,t6507lp,181,48,7621
201,cavlc,9,0,3243
202,ag_6502,9,1,22375
203,sub86,13,6,350
204,mips_16,7,0,1008
205,minirisc,6,1,2857
206,yacc,2,0,15482
207,jpegencode,11,2,15709
208,apb_mstr,12,1,2554
209,sdram,6,0,1987
210,mesi_isc,9,0,1755
211,open_free_list,3,0,563
212,pipelined_fft_64,8,0,1476
213,scalable_arbiter,5,1,1016
214,pid_controller,13,0,2458
215,rtf_sprite_controller,2,0,1152
216,rtfsimpleuart,13,0,861
217,rs_5_3_gf256,5,3,17334
218,versatile_fifo,32,1,1553
219,dvb_s2_ldpc_decoder,2,0,18926
220,configurable_crc_core,4,0,63
221,mem_ctrl,26,9,26916
222,wb_dma,15,1,9929
223,pepelatz_misc,14,0,73
224,firewire,20,0,173
225,spacewire,25,0,3876
226,fpga-cf,13,0,20951
227,mac_layer_switch,6,0,18529
228,claw,2,0,29134
229,wb_z80,37,9,5447
230,floppyif,2,0,293
231,sxp,58,10,3184
232,rs232_syscon,2,0,1168
233,hssdrc,2,0,7660
234,ahb_slave,11,2,543
235,cheap_ethernet,3,0,1243
236,mod3_calc,2,0,89
237,cpu8080,14,11,72287
238,djpeg,5,0,7515
239,next186_soc_pc,8,1,9287
240,wb_lpc,19,6,2388
241,aes_core,5,2,1406
242,simple_spi,8,2,1467
243,ecg,19,0,1635
244,lcd_block,16,0,309
245,versatile_mem_ctrl,105,12,5553
246,hamming,8,6,720
247,tiny_aes,14,1,1105
248,signed_integer_divider,3,0,848
249,klc32,14,4,2688
250,ssp_slv,3,0,266
251,embedded_risc,16,6,8060
252,8051,179,34,18632
253,cr_div,2,0,190
254,microriscii,6,0,510
255,can,131,36,6655
256,robust_axi2ahb,10,0,906
257,sdr_ctrl,72,7,10552
258,ethmac,28,6,16395
259,aes_highthroughput_lowarea,11,1,1395
260,gost28147-89,5,0,708
261,ethernet_tri_mode,26,0,42941
262,generic_fifos,5,0,1560
263,cop,13,1,2046
264,p16c5x,3,0,1584
265,ahb_arbiter,2,0,551
266,vga_lcd,58,16,8561
267,genesys_ddr2,3,0,11699
268,wb_lcd,2,0,8390
269,simple_pic,4,1,247
270,robust_fir,16,3,678
271,ethmac10g,67,2,6635
272,present_encryptor,13,0,421
273,nextz80,11,3,2069
274,ps2,33,4,5442
275,mmcfpgaconfig,4,0,1050
276,trigonometric_functions_in_double_fpu,17,0,1359
277,ddr3_synthesizable_bfm,7,2,884
278,ima_adpcm_enc_dec,4,0,679
279,divider,5,3,809
280,keypad_scanner,2,0,231
281,ddr3_sdram,3,0,1629
282,statled,6,0,180
283,auto_baud,2,0,1169
284,wb_sim_models,2,0,954
285,openfire_core,4,0,3630
286,wb_conmax,4,1,7987
287,oops,2,1,1917
288,wb_async_mem_bridge,7,0,3891
289,mcs-4,3,0,1353
290,video_systems,21,8,16794
291,miaow,93,34,34598
292,wujian100_open,41,11,107571
293,hw,102,23,959312
294,darkriscv,277,62,2809
295,hdl,6486,1263,161084
296,verilog-ethernet,1174,124,122111
297,e200_opensource,196,14,77857
298,zipcpu,785,225,71376
299,amiga2000-gfxcard,153,28,10468
300,picorv32,594,125,6463
